Payment_ID,Account_ID,Promise_ID,Payment_Date,Payment_Amount,Payment_Method
1,1,1.0,2025-10-14,2350.18,Card
2,1,1.0,2025-10-15,4812.3,ACH
3,2,2.0,2026-02-01,582.5,ACH
4,2,,2026-02-17,36.13,ACH
5,3,3.0,2026-01-27,4298.92,Online Portal
6,4,4.0,2025-06-14,73.79,Online Portal
7,5,4.0,2025-07-07,83.63,Online Portal
8,6,5.0,2025-03-10,1064.2,Online Portal
9,6,5.0,2025-03-22,1723.13,Online Portal
10,6,,2025-04-05,2367.13,Card
11,7,6.0,2024-12-29,240.3,Online Portal
12,8,7.0,2026-02-20,2129.0,Online Portal
13,8,7.0,2026-02-25,1566.72,Online Portal
14,8,7.0,2026-03-10,1274.7,Card
15,9,8.0,2025-04-17,89.75,ACH
16,10,8.0,2025-04-30,119.66,ACH
17,10,,2026-01-24,5729.25,Card
18,11,9.0,2025-12-13,704.67,Online Portal
19,12,10.0,2025-05-15,246.92,Online Portal
20,12,10.0,2025-05-24,326.99,Card
21,12,10.0,2025-05-31,527.83,Online Portal
22,12,,2025-07-08,807.13,Card
23,13,11.0,2026-01-28,4110.04,Bank Transfer
24,14,11.0,2026-02-04,1416.24,ACH
25,15,11.0,2026-01-26,2127.41,Online Portal
26,16,12.0,2024-12-24,2725.58,Online Portal
28,17,,2026-01-09,388.16,Online Portal
27,17,13.0,2026-03-25,901.96,Card
29,18,14.0,2026-01-11,5780.09,Card
30,19,15.0,2026-04-05,5988.44,Online Portal
31,20,16.0,2026-02-04,8833.9,Bank Transfer
32,20,,2026-02-19,1310.45,Online Portal
36,21,,2025-03-15,437.27,Online Portal
33,21,17.0,2025-03-25,178.66,Card
37,21,,2025-04-05,258.2,ACH
34,21,17.0,2025-04-09,123.83,Bank Transfer
38,21,,2025-04-17,170.05,Card
35,21,17.0,2025-04-18,186.66,Online Portal
39,22,18.0,2024-10-05,118.2,ACH
41,23,,2025-01-13,117.24,ACH
42,23,,2025-01-24,54.23,Online Portal
40,23,19.0,2025-03-13,52.77,Online Portal
43,24,19.0,2025-03-24,52.77,Online Portal
44,25,20.0,2026-01-17,122.88,Card
45,25,20.0,2026-01-27,81.44,ACH
46,25,20.0,2026-02-04,154.4,Online Portal
47,26,20.0,2026-01-25,358.72,Online Portal
48,27,21.0,2026-01-03,1359.32,ACH
49,28,22.0,2025-10-16,2412.55,ACH
50,29,23.0,2024-12-07,139.14,ACH
51,29,23.0,2024-12-20,142.35,Card
52,30,23.0,2024-11-29,97.76,Card
53,30,23.0,2024-11-30,185.06,Online Portal
54,31,24.0,2025-11-27,893.14,Card
55,31,,2025-12-23,2561.78,Online Portal
56,31,,2026-01-01,1309.0,Online Portal
57,32,24.0,2025-11-23,956.93,Online Portal
59,33,,2026-02-21,129.6,Online Portal
60,33,,2026-03-08,105.17,ACH
58,33,25.0,2026-03-30,461.04,Online Portal
61,34,26.0,2025-08-19,2943.24,ACH
62,34,,2025-09-28,279.69,ACH
63,35,27.0,2026-03-12,1084.04,ACH
64,36,28.0,2025-07-22,60.11,Online Portal
65,36,,2025-07-31,45.35,ACH
67,37,,2024-08-30,451.98,Card
66,37,28.0,2025-07-27,53.43,Online Portal
68,38,29.0,2026-03-26,2212.86,ACH
69,39,30.0,2026-03-26,5735.77,ACH
70,39,30.0,2026-04-10,4872.29,Card
71,40,31.0,2025-11-27,310.76,ACH
72,40,31.0,2025-11-29,419.92,Online Portal
73,40,,2025-12-15,725.24,Online Portal
75,41,,2025-04-03,140.89,Online Portal
74,41,32.0,2025-05-26,28.52,ACH
76,41,,2025-05-27,60.06,Card
77,42,33.0,2025-04-28,168.51,Online Portal
78,43,34.0,2026-02-02,9462.07,ACH
79,44,35.0,2025-09-06,1892.02,Online Portal
80,44,,2025-09-21,4146.61,Bank Transfer
81,45,36.0,2025-08-31,7335.33,Bank Transfer
82,45,36.0,2025-09-04,6936.26,Card
83,46,37.0,2025-09-12,456.2,ACH
84,46,,2025-10-18,530.2,Bank Transfer
86,47,,2025-11-23,344.45,ACH
85,47,38.0,2025-12-24,1080.75,Online Portal
87,48,39.0,2026-02-01,1707.82,ACH
88,48,39.0,2026-02-11,2205.07,ACH
89,49,40.0,2025-02-02,669.65,Online Portal
90,49,40.0,2025-02-15,1250.17,Card
92,50,,2025-03-02,80.81,Online Portal
91,50,41.0,2025-03-08,170.68,Online Portal
93,51,42.0,2024-09-18,1399.54,ACH
94,51,42.0,2024-10-01,2046.45,Online Portal
95,52,43.0,2025-02-11,484.9,Online Portal
96,53,43.0,2025-02-04,538.78,Card
97,54,44.0,2025-03-02,489.08,Card
98,54,,2025-03-03,216.13,Online Portal
99,55,45.0,2025-02-08,234.05,Online Portal
100,56,45.0,2025-02-19,234.05,Online Portal
101,57,45.0,2025-02-10,161.68,Online Portal
102,57,45.0,2025-02-16,209.44,Online Portal
103,57,45.0,2025-02-18,324.07,Online Portal
104,57,,2025-07-24,1046.37,ACH
105,58,46.0,2026-03-17,415.23,Bank Transfer
106,58,46.0,2026-03-24,431.16,ACH
107,59,47.0,2025-09-26,4124.04,Card
108,59,47.0,2025-10-10,11100.93,ACH
109,60,48.0,2026-01-05,1376.44,ACH
110,61,49.0,2025-08-17,3945.53,Bank Transfer
111,62,50.0,2026-04-08,2291.26,Online Portal
112,62,50.0,2026-04-23,2130.17,Online Portal
113,62,50.0,2026-05-05,1741.42,Online Portal
115,63,,2024-08-29,262.39,ACH
114,63,51.0,2024-10-09,446.18,Online Portal
117,64,,2025-02-16,378.86,Card
118,64,,2025-04-11,215.0,Online Portal
116,64,52.0,2025-04-20,582.97,Bank Transfer
119,65,53.0,2024-11-23,245.77,ACH
120,66,54.0,2024-11-16,532.86,Card
121,66,54.0,2024-11-24,1229.6,Online Portal
122,67,55.0,2025-10-23,3432.83,ACH
125,68,,2024-09-24,10.32,Card
123,68,56.0,2024-11-30,152.66,Online Portal
124,68,56.0,2024-12-07,298.34,Bank Transfer
126,69,57.0,2026-02-04,2587.71,Online Portal
127,69,57.0,2026-02-18,3524.53,Card
129,70,,2025-10-26,300.16,Online Portal
128,70,58.0,2025-11-14,4924.68,ACH
130,71,59.0,2025-10-16,1723.5,ACH
131,72,59.0,2025-10-08,1551.15,Online Portal
132,73,59.0,2025-10-02,1120.28,Bank Transfer
133,74,60.0,2025-06-29,244.25,ACH
134,74,,2025-08-04,127.8,Bank Transfer
135,74,,2025-08-13,91.22,Bank Transfer
137,75,,2025-08-03,187.74,Online Portal
136,75,61.0,2025-08-28,4336.16,Card
138,76,62.0,2025-05-14,59.47,Bank Transfer
139,77,63.0,2025-06-14,1647.8,ACH
140,78,64.0,2026-04-09,838.41,Bank Transfer
141,78,64.0,2026-04-24,1923.85,Online Portal
145,79,,2026-02-04,284.53,ACH
142,79,65.0,2026-03-24,574.44,Online Portal
143,79,65.0,2026-04-04,657.81,Card
144,79,65.0,2026-04-16,1061.81,Online Portal
146,80,66.0,2025-03-21,1236.7,Online Portal
147,81,66.0,2025-02-16,1678.59,Online Portal
148,82,67.0,2025-12-13,745.18,Card
149,83,67.0,2025-12-19,387.33,ACH
151,84,,2026-02-18,147.2,ACH
152,84,,2026-02-27,68.05,Bank Transfer
153,84,,2026-02-27,49.28,ACH
154,84,,2026-03-11,45.15,Bank Transfer
150,84,68.0,2026-03-17,2595.18,ACH
155,84,,2026-03-18,50.61,Online Portal
156,85,68.0,2026-03-06,1097.65,Card
160,86,,2025-12-20,101.68,Card
157,86,69.0,2026-01-21,312.08,Online Portal
158,86,69.0,2026-01-28,174.54,Online Portal
159,86,69.0,2026-01-28,500.99,ACH
161,87,70.0,2025-04-20,1020.17,Bank Transfer
162,87,,2025-05-16,699.66,Card
164,88,,2025-03-03,1032.55,ACH
163,88,71.0,2025-04-18,1068.43,Online Portal
165,89,72.0,2026-01-20,4186.05,Online Portal
166,90,73.0,2025-04-07,201.05,Online Portal
167,90,,2025-04-12,244.33,ACH
168,91,74.0,2025-05-13,185.92,ACH
169,91,74.0,2025-05-19,236.76,Online Portal
170,92,75.0,2025-05-22,469.12,Card
171,92,,2025-05-22,120.55,Card
173,93,,2026-02-17,147.0,Online Portal
172,93,76.0,2026-03-04,3655.03,Online Portal
174,94,77.0,2025-11-02,605.5,ACH
175,95,78.0,2025-04-21,994.49,Online Portal
176,95,,2025-04-23,566.37,Bank Transfer
177,96,79.0,2024-11-09,57.2,Online Portal
178,97,80.0,2025-02-23,968.01,Card
179,98,81.0,2026-01-23,2646.48,Card
180,98,81.0,2026-02-04,6776.77,ACH
181,99,82.0,2026-01-20,3192.97,Card
182,99,82.0,2026-01-23,6555.07,ACH
183,100,83.0,2025-03-17,205.54,Bank Transfer
184,100,83.0,2025-03-23,183.39,Online Portal
185,100,83.0,2025-03-27,330.73,Online Portal
186,101,84.0,2025-02-20,34.07,ACH
189,101,,2025-02-23,24.24,Online Portal
187,101,84.0,2025-03-01,24.91,ACH
188,101,84.0,2025-03-02,55.5,Card
190,101,,2025-03-20,24.55,Card
191,102,85.0,2025-04-24,454.65,ACH
192,102,85.0,2025-05-09,720.19,Online Portal
193,103,86.0,2025-08-26,712.57,Online Portal
194,104,87.0,2025-08-26,1622.25,ACH
195,104,,2025-09-02,358.93,ACH
196,105,87.0,2025-09-02,1335.97,Bank Transfer
197,106,88.0,2025-06-10,141.43,Online Portal
198,107,89.0,2024-11-26,65.01,Online Portal
199,108,90.0,2025-11-25,280.04,ACH
200,108,90.0,2025-11-29,374.72,ACH
201,109,91.0,2026-03-14,10843.36,Online Portal
202,110,92.0,2025-06-13,37.97,Bank Transfer
203,111,92.0,2025-06-18,23.97,Bank Transfer
204,111,92.0,2025-06-30,26.05,Online Portal
205,111,92.0,2025-07-13,47.47,ACH
206,112,93.0,2025-08-30,101.14,Card
207,112,93.0,2025-09-12,117.77,ACH
208,112,93.0,2025-09-19,289.17,Online Portal
209,112,,2025-10-06,191.71,Online Portal
211,113,,2025-03-03,47.06,Online Portal
210,113,94.0,2025-03-29,98.47,Bank Transfer
213,114,,2026-02-13,13.59,ACH
212,114,95.0,2026-03-10,718.98,Online Portal
214,115,96.0,2026-02-09,774.12,Online Portal
215,116,97.0,2026-04-06,6641.58,ACH
216,117,98.0,2025-11-16,1072.45,Online Portal
217,117,,2025-12-26,460.1,Card
218,118,99.0,2025-03-14,83.71,Card
219,118,,2025-03-27,10.78,Card
220,119,100.0,2025-06-21,715.97,Online Portal
222,120,,2025-06-10,160.05,Card
221,120,101.0,2025-07-23,194.45,Online Portal
224,121,,2025-01-04,29.71,Online Portal
223,121,102.0,2025-03-06,44.11,Online Portal
225,122,103.0,2026-03-15,102.47,Online Portal
226,123,104.0,2025-02-24,21.47,Online Portal
227,124,105.0,2026-03-25,5846.37,ACH
229,125,,2026-01-30,235.73,Card
228,125,106.0,2026-03-16,3886.13,ACH
230,126,107.0,2025-07-24,4223.98,ACH
231,127,108.0,2026-02-14,73.0,ACH
232,127,108.0,2026-02-18,65.32,Bank Transfer
233,128,108.0,2026-02-15,52.05,ACH
234,128,108.0,2026-02-19,69.16,Card
235,129,109.0,2025-02-14,2673.96,ACH
236,130,110.0,2026-04-12,4693.13,Online Portal
237,130,110.0,2026-04-19,10767.42,Bank Transfer
240,131,,2026-01-05,42.21,ACH
238,131,111.0,2026-01-25,29.15,ACH
