Promise_ID,Call_ID,Account_ID,Promise_Date,Promise_Due_Date,Promised_Amount,Promise_Status
1,3,1,2025-08-27,2025-09-17,7162.48,Broken
2,17,2,2026-01-12,2026-01-20,685.29,Kept
3,26,3,2025-12-23,2026-01-14,5057.55,Kept
4,55,4,2025-05-22,2025-05-24,98.39,Broken
5,71,6,2025-02-16,2025-02-17,2297.51,Broken
6,104,7,2024-11-02,2024-11-16,300.38,Broken
7,121,8,2026-01-31,2026-02-01,4970.42,Active
8,135,9,2025-04-09,2025-04-15,119.66,Kept
9,162,11,2025-11-13,2025-12-08,704.67,Kept
10,177,12,2025-04-29,2025-05-03,586.48,Kept
11,202,13,2026-01-18,2026-01-20,4110.04,Kept
12,234,16,2024-11-10,2024-12-10,5451.16,Broken
13,259,17,2026-01-18,2026-02-07,949.43,Active
14,264,18,2025-12-31,2026-01-07,6800.11,Kept
15,277,19,2026-02-15,2026-02-23,6303.62,Active
16,280,20,2026-01-26,2026-01-29,8833.9,Kept
17,292,21,2025-02-28,2025-03-15,311.1,Kept
18,312,22,2024-09-03,2024-09-10,147.75,Broken
19,351,23,2025-01-28,2025-01-31,58.63,Broken
20,370,25,2026-01-07,2026-01-13,358.72,Kept
21,383,27,2025-11-26,2025-12-26,1941.89,Kept
22,395,28,2025-08-20,2025-09-16,3446.5,Broken
23,417,29,2024-10-31,2024-11-26,284.7,Kept
24,475,31,2025-10-30,2025-11-18,1275.91,Kept
25,490,33,2026-02-02,2026-02-15,485.31,Active
26,498,34,2025-08-07,2025-08-12,4204.63,Kept
27,513,35,2026-01-24,2026-02-11,1275.34,Active
28,534,36,2025-06-27,2025-07-21,66.79,Kept
29,579,38,2026-01-28,2026-02-05,2603.36,Active
30,586,39,2026-01-27,2026-02-12,10608.06,Active
31,600,40,2025-11-17,2025-11-19,599.88,Kept
32,613,41,2025-04-20,2025-05-12,47.54,Kept
33,656,42,2025-03-21,2025-04-05,224.68,Broken
34,664,43,2026-01-30,2026-01-31,9462.07,Kept
35,669,44,2025-06-22,2025-07-21,2522.69,Broken
36,698,45,2025-08-22,2025-08-26,14271.59,Kept
37,705,46,2025-09-03,2025-09-04,536.71,Kept
38,723,47,2025-11-29,2025-12-16,1080.75,Kept
39,734,48,2026-01-08,2026-01-29,3912.89,Kept
40,742,49,2024-12-31,2025-01-20,1666.89,Kept
41,782,50,2025-01-08,2025-02-02,262.59,Broken
42,806,51,2024-07-31,2024-08-16,3148.38,Broken
43,836,52,2024-12-31,2025-01-27,538.78,Kept
44,859,54,2025-02-03,2025-02-22,543.42,Kept
45,908,55,2025-02-03,2025-02-06,360.08,Kept
46,976,58,2026-02-03,2026-02-25,846.39,Active
47,986,59,2025-08-31,2025-09-18,15224.97,Kept
48,1004,60,2025-11-30,2025-12-20,1376.44,Kept
49,1011,61,2025-07-17,2025-08-10,5636.47,Kept
50,1027,62,2026-02-02,2026-02-24,6162.85,Active
51,1050,63,2024-09-15,2024-09-30,557.73,Kept
52,1087,64,2025-04-03,2025-04-06,971.61,Kept
53,1093,65,2024-11-06,2024-11-14,491.54,Kept
54,1145,66,2024-11-01,2024-11-04,1537.0,Kept
55,1165,67,2025-09-30,2025-10-08,3432.83,Kept
56,1195,68,2024-10-03,2024-10-21,372.92,Broken
57,1209,69,2026-01-09,2026-01-25,6112.24,Kept
58,1221,70,2025-10-27,2025-11-10,5793.74,Kept
59,1235,71,2025-09-16,2025-09-30,1723.5,Kept
60,1306,74,2025-05-05,2025-06-02,407.08,Broken
61,1331,75,2025-07-10,2025-07-14,5101.36,Broken
62,1353,76,2025-04-04,2025-04-30,79.29,Kept
63,1386,77,2025-05-29,2025-06-13,1830.89,Kept
64,1393,78,2026-02-02,2026-03-02,1923.85,Active
65,1401,79,2026-01-24,2026-02-21,1117.69,Active
66,1415,80,2025-01-07,2025-01-28,2473.4,Broken
67,1465,82,2025-11-09,2025-12-09,876.68,Kept
68,1514,84,2026-01-30,2026-02-15,3053.15,Active
69,1526,86,2026-01-07,2026-01-20,589.4,Kept
70,1542,87,2025-04-06,2025-04-19,1700.28,Kept
71,1557,88,2025-03-16,2025-03-30,1424.57,Broken
72,1578,89,2025-12-24,2026-01-15,4924.76,Kept
73,1586,90,2025-03-10,2025-03-20,268.06,Broken
74,1614,91,2025-05-01,2025-05-03,315.68,Kept
75,1642,92,2025-05-03,2025-05-20,625.5,Kept
76,1661,93,2026-01-29,2026-02-15,4300.04,Active
77,1666,94,2025-10-20,2025-10-26,865.0,Kept
78,1683,95,2025-01-28,2025-02-25,1325.98,Broken
79,1720,96,2024-10-18,2024-10-26,114.39,Kept
80,1743,97,2024-12-15,2025-01-06,1489.24,Broken
81,1772,98,2026-01-08,2026-01-15,9423.25,Kept
82,1780,99,2026-01-08,2026-01-17,9748.04,Kept
83,1790,100,2025-01-30,2025-02-09,551.22,Broken
84,1812,101,2025-01-16,2025-01-17,61.67,Broken
85,1842,102,2025-04-13,2025-04-16,800.21,Kept
86,1860,103,2025-07-31,2025-08-12,1017.96,Kept
87,1882,104,2025-08-18,2025-08-24,1908.53,Kept
88,1907,106,2025-04-18,2025-05-14,188.57,Broken
89,1918,107,2024-10-08,2024-10-18,81.26,Broken
90,1949,108,2025-11-16,2025-11-25,654.76,Kept
91,1963,109,2026-01-30,2026-02-17,10843.36,Active
92,1984,110,2025-05-25,2025-06-04,63.29,Kept
93,2020,112,2025-08-02,2025-08-23,289.17,Kept
94,2040,113,2025-02-11,2025-03-13,164.12,Kept
95,2060,114,2026-01-30,2026-02-08,756.82,Active
96,2067,115,2026-01-15,2026-01-26,814.86,Kept
97,2078,116,2026-02-13,2026-02-22,6991.14,Active
98,2085,117,2025-10-31,2025-11-15,1261.71,Kept
99,2108,118,2025-03-09,2025-03-12,93.01,Kept
100,2121,119,2025-06-18,2025-06-20,954.63,Kept
101,2159,120,2025-05-30,2025-06-04,324.09,Broken
102,2176,121,2024-12-17,2025-01-14,67.86,Broken
103,2207,122,2026-01-27,2026-02-18,102.47,Active
104,2215,123,2024-12-27,2025-01-21,42.94,Broken
105,2245,124,2026-01-23,2026-02-16,5846.37,Active
106,2253,125,2026-01-12,2026-02-11,4571.92,Active
107,2266,126,2025-06-20,2025-06-26,7039.96,Broken
108,2287,127,2026-01-20,2026-01-21,138.32,Broken
109,2333,129,2024-12-06,2025-01-01,3342.45,Broken
110,2361,130,2026-01-23,2026-02-18,15460.55,Active
111,2370,131,2025-12-27,2026-01-02,86.33,Broken
112,2385,132,2025-07-28,2025-08-25,240.93,Broken
113,2403,133,2025-02-21,2025-03-05,622.95,Kept
114,2423,134,2025-11-30,2025-12-01,778.57,Kept
115,2442,135,2025-04-15,2025-04-18,1203.14,Broken
116,2495,138,2024-10-05,2024-10-18,145.33,Kept
117,2539,139,2025-05-21,2025-05-22,3057.08,Kept
118,2554,140,2025-11-03,2025-11-12,2253.92,Kept
119,2569,141,2025-01-27,2025-02-08,1111.65,Broken
120,2594,142,2025-12-09,2025-12-26,1851.13,Broken
121,2672,144,2025-01-20,2025-01-27,5434.19,Kept
122,2679,146,2024-09-12,2024-10-12,66.09,Broken
123,2710,147,2025-12-28,2026-01-21,949.12,Kept
124,2720,148,2025-02-15,2025-02-18,1768.22,Broken
125,2741,149,2025-12-17,2026-01-08,161.83,Kept
126,2758,150,2025-02-06,2025-02-16,738.07,Broken
127,2794,151,2025-04-03,2025-04-21,690.2,Broken
128,2811,153,2026-01-28,2026-02-19,2108.23,Active
129,2821,154,2025-06-13,2025-06-19,867.93,Kept
130,2845,155,2025-11-22,2025-11-23,4911.02,Kept
131,2864,156,2025-02-18,2025-03-16,53.17,Kept
132,2885,157,2025-08-29,2025-09-13,4127.86,Broken
133,2901,158,2025-08-30,2025-09-25,213.09,Kept
134,2917,159,2025-01-16,2025-02-07,1351.07,Broken
135,2935,160,2026-01-12,2026-02-06,10019.74,Active
136,2947,161,2026-01-31,2026-02-10,12943.99,Active
137,2952,162,2026-01-28,2026-02-04,16508.48,Active
138,2962,163,2025-12-13,2025-12-15,607.63,Kept
139,2975,164,2024-10-27,2024-11-24,1126.85,Broken
140,3011,166,2026-01-18,2026-02-06,1754.78,Active
141,3041,167,2025-01-15,2025-02-07,314.91,Kept
142,3053,168,2025-04-23,2025-05-16,1792.6,Broken
143,3145,171,2025-07-13,2025-07-17,2190.08,Broken
144,3163,172,2025-10-22,2025-11-14,693.7,Kept
145,3173,173,2026-01-15,2026-02-12,3563.28,Active
146,3181,174,2025-12-02,2025-12-07,1060.53,Broken
147,3197,175,2025-03-22,2025-04-11,457.01,Kept
148,3216,176,2026-01-24,2026-02-20,1765.42,Active
149,3224,177,2024-07-03,2024-07-20,385.52,Broken
150,3257,178,2026-01-26,2026-02-01,16149.41,Active
151,3264,179,2026-01-10,2026-01-26,433.63,Broken
152,3272,180,2026-01-09,2026-02-05,1648.6,Active
153,3305,182,2026-02-09,2026-03-06,3478.52,Active
154,3314,183,2025-08-16,2025-09-01,924.22,Kept
155,3328,184,2024-10-31,2024-11-10,134.3,Broken
156,3361,185,2025-07-12,2025-07-15,4868.3,Kept
157,3380,186,2025-12-27,2026-01-19,4622.5,Kept
158,3395,187,2024-08-12,2024-08-26,4047.46,Broken
159,3433,188,2025-07-04,2025-07-11,614.21,Broken
160,3501,190,2025-01-15,2025-02-07,2807.36,Broken
161,3539,191,2024-11-25,2024-12-11,3508.64,Broken
162,3551,192,2025-12-30,2026-01-27,8421.14,Kept
163,3569,193,2025-12-24,2026-01-17,1215.59,Kept
164,3580,194,2024-10-29,2024-11-06,446.32,Kept
165,3609,195,2026-01-09,2026-01-31,1457.03,Kept
166,3633,196,2024-09-27,2024-10-03,208.36,Broken
167,3652,197,2025-09-27,2025-10-15,2795.1,Kept
168,3669,198,2025-09-26,2025-10-15,1584.67,Kept
169,3712,199,2025-03-23,2025-04-20,282.44,Kept
170,3716,200,2026-02-08,2026-02-15,1698.38,Active
171,3735,201,2025-02-03,2025-02-14,1671.36,Broken
172,3750,202,2025-11-25,2025-12-22,4821.69,Kept
173,3762,203,2025-04-19,2025-05-13,1327.23,Kept
174,3787,204,2025-12-30,2026-01-20,891.5,Broken
175,3801,205,2025-04-16,2025-04-18,572.58,Kept
176,3818,206,2025-08-08,2025-08-09,965.33,Kept
177,3862,207,2025-03-06,2025-03-10,124.47,Broken
178,3866,208,2025-12-18,2026-01-12,5640.45,Kept
179,3894,209,2025-01-05,2025-01-29,1129.87,Kept
180,3916,210,2025-02-11,2025-02-21,1000.35,Kept
181,3934,211,2026-01-21,2026-02-12,1468.92,Active
182,3969,212,2024-09-18,2024-10-11,1255.5,Broken
183,3977,213,2025-07-13,2025-07-21,864.77,Broken
184,3991,214,2025-10-08,2025-11-05,1797.14,Broken
185,4023,215,2024-11-25,2024-12-14,37.29,Broken
186,4050,216,2025-11-08,2025-11-20,1489.54,Broken
187,4055,217,2026-01-27,2026-01-28,12358.38,Kept
188,4066,218,2026-01-23,2026-02-04,2348.68,Active
189,4071,219,2025-06-27,2025-07-24,359.4,Kept
190,4127,222,2026-01-31,2026-02-17,2719.34,Active
191,4157,224,2026-01-16,2026-02-11,2758.16,Active
192,4203,226,2025-05-18,2025-06-02,601.95,Kept
193,4224,227,2025-11-12,2025-12-10,9079.84,Broken
194,4276,229,2025-10-27,2025-11-05,349.98,Kept
195,4290,230,2026-02-10,2026-03-02,502.65,Active
196,4296,231,2026-02-06,2026-02-17,6105.41,Active
197,4321,232,2025-06-02,2025-06-30,1914.71,Kept
198,4346,233,2024-11-22,2024-12-01,145.24,Broken
199,4367,234,2025-07-29,2025-08-07,2075.78,Kept
200,4377,235,2025-11-01,2025-11-09,170.73,Broken
201,4403,236,2025-03-05,2025-03-28,2026.19,Kept
202,4427,237,2025-05-14,2025-05-15,393.32,Broken
203,4440,238,2026-01-27,2026-02-06,18766.48,Active
204,4449,239,2025-03-15,2025-03-27,27.13,Kept
205,4473,240,2026-01-28,2026-02-21,7641.64,Active
206,4486,241,2025-06-13,2025-06-25,1147.17,Kept
207,4505,242,2025-11-26,2025-11-30,288.48,Broken
208,4520,243,2025-02-04,2025-03-01,171.6,Broken
209,4542,244,2024-12-05,2024-12-14,71.85,Broken
210,4576,245,2025-11-01,2025-11-11,555.34,Kept
211,4608,246,2025-03-07,2025-03-19,323.56,Broken
212,4625,247,2025-04-18,2025-04-27,1107.33,Kept
213,4645,248,2026-01-30,2026-02-04,14484.89,Active
214,4650,249,2025-07-23,2025-08-17,1659.52,Kept
215,4673,250,2025-05-21,2025-06-06,1530.31,Broken
216,4688,251,2026-01-25,2026-02-03,4384.38,Active
217,4708,252,2024-12-20,2025-01-16,267.74,Broken
218,4763,254,2025-09-17,2025-10-09,15566.63,Kept
219,4776,255,2025-05-11,2025-05-30,48.69,Kept
220,4800,256,2026-01-27,2026-02-14,3162.01,Active
221,4817,257,2025-07-22,2025-08-11,115.81,Broken
222,4858,259,2025-06-25,2025-07-08,790.63,Broken
223,4892,260,2024-09-20,2024-10-04,507.66,Broken
224,4921,261,2025-09-30,2025-10-24,821.62,Broken
225,4935,262,2025-02-15,2025-03-08,1032.66,Kept
226,4960,263,2024-10-23,2024-10-29,500.98,Broken
227,4999,264,2025-08-08,2025-08-31,205.18,Kept
228,5012,265,2025-10-11,2025-11-03,696.79,Broken
229,5028,266,2024-11-19,2024-11-22,247.27,Broken
230,5082,267,2025-05-25,2025-06-15,717.45,Kept
231,5088,268,2025-06-13,2025-06-17,123.85,Broken
232,5142,270,2026-01-08,2026-02-04,15029.39,Active
233,5152,271,2025-06-23,2025-06-25,1968.36,Broken
234,5180,272,2025-10-23,2025-11-11,2397.32,Kept
235,5194,273,2025-09-21,2025-10-01,1669.08,Kept
236,5204,274,2025-09-28,2025-10-14,464.05,Broken
237,5224,275,2026-01-23,2026-02-16,1887.88,Active
238,5249,276,2025-03-08,2025-03-17,123.17,Broken
239,5262,277,2024-08-21,2024-09-18,3648.08,Broken
240,5297,278,2026-01-26,2026-02-17,1474.81,Active
241,5304,279,2025-07-03,2025-07-28,7353.33,Kept
242,5352,281,2025-07-17,2025-08-16,4364.95,Broken
243,5379,282,2025-07-31,2025-08-14,287.74,Kept
244,5392,283,2025-08-15,2025-08-27,1810.65,Kept
245,5408,284,2025-06-25,2025-07-01,2646.41,Kept
246,5446,285,2025-08-24,2025-09-06,5803.78,Kept
247,5460,286,2025-06-14,2025-06-25,222.43,Broken
248,5478,287,2025-05-20,2025-06-17,407.5,Broken
249,5501,288,2026-01-22,2026-02-09,6464.09,Active
250,5513,289,2025-04-28,2025-04-30,2520.59,Broken
251,5565,290,2024-12-07,2024-12-28,334.29,Kept
252,5569,291,2025-09-29,2025-10-04,1090.03,Kept
253,5585,292,2026-01-05,2026-01-09,2225.26,Kept
254,5596,293,2025-03-01,2025-03-27,670.7,Broken
255,5614,294,2025-12-16,2026-01-03,6016.63,Broken
256,5634,296,2025-10-05,2025-10-09,707.12,Broken
257,5678,298,2025-09-30,2025-10-16,187.38,Kept
258,5694,299,2024-07-15,2024-07-29,65.15,Kept
259,5741,300,2025-03-26,2025-04-13,601.68,Broken
260,5754,301,2025-05-20,2025-06-13,322.0,Kept
261,5779,302,2025-05-05,2025-05-31,959.41,Broken
262,5833,304,2025-09-13,2025-09-22,718.73,Kept
263,5857,306,2026-01-20,2026-02-08,7731.96,Active
264,5864,308,2026-01-16,2026-02-07,7972.78,Active
265,5891,309,2024-10-23,2024-10-28,1803.4,Kept
266,5940,311,2026-01-31,2026-02-25,17309.82,Active
267,5954,312,2025-05-31,2025-06-15,297.95,Broken
268,5976,313,2024-09-13,2024-09-21,174.85,Broken
269,6039,315,2024-12-21,2024-12-23,137.79,Broken
270,6063,316,2025-07-04,2025-07-17,535.19,Broken
271,6068,317,2025-12-13,2025-12-18,642.14,Kept
272,6077,318,2025-10-01,2025-10-20,2233.43,Kept
273,6099,319,2024-08-25,2024-09-22,810.15,Broken
274,6138,320,2025-02-22,2025-03-18,440.5,Broken
275,6151,321,2025-07-23,2025-07-26,1235.25,Kept
276,6180,322,2024-12-19,2025-01-11,1951.81,Kept
277,6236,324,2025-07-11,2025-08-02,491.47,Kept
278,6250,325,2026-01-28,2026-02-20,1388.88,Active
279,6294,327,2025-07-16,2025-08-03,3528.14,Kept
280,6305,328,2025-11-05,2025-11-26,3801.59,Kept
281,6333,329,2025-12-16,2025-12-19,953.93,Kept
282,6372,331,2026-02-15,2026-03-15,1330.42,Active
283,6386,332,2025-11-14,2025-11-20,1204.66,Kept
284,6398,333,2025-04-05,2025-05-01,209.6,Kept
285,6420,334,2025-09-11,2025-09-19,1277.18,Broken
286,6432,335,2025-05-09,2025-05-15,3305.61,Kept
287,6455,336,2026-02-07,2026-03-01,16690.47,Active
